x,PPForm3_NATURAL,PPForm3_COMPLETE,PPForm3_NOT_A_KNOT,PPForm3_SECOND,f_exact(x)
-0.78000000,0.06169031,0.06169031,0.06169031,0.06169031,0.06169031
-0.77750000,0.06206301,0.06206301,0.06206301,0.06206301,0.06206301
-0.77500000,0.06243902,0.06243902,0.06243902,0.06243902,0.06243902
-0.77250000,0.06281838,0.06281838,0.06281838,0.06281838,0.06281839
-0.77000000,0.06320113,0.06320113,0.06320113,0.06320113,0.06320114
-0.76750000,0.06358731,0.06358731,0.06358731,0.06358731,0.06358732
-0.76500000,0.06397695,0.06397695,0.06397695,0.06397695,0.06397697
-0.76250000,0.06437011,0.06437011,0.06437011,0.06437011,0.06437013
-0.76000000,0.06476683,0.06476683,0.06476683,0.06476683,0.06476684
-0.75750000,0.06516713,0.06516713,0.06516713,0.06516713,0.06516714
-0.75500000,0.06557108,0.06557108,0.06557108,0.06557108,0.06557108
-0.75250000,0.06597870,0.06597870,0.06597870,0.06597870,0.06597870
-0.75000000,0.06639004,0.06639004,0.06639004,0.06639004,0.06639004
-0.74750000,0.06680515,0.06680515,0.06680515,0.06680515,0.06680515
-0.74500000,0.06722406,0.06722406,0.06722406,0.06722406,0.06722407
-0.74250000,0.06764683,0.06764683,0.06764683,0.06764683,0.06764684
-0.74000000,0.06807350,0.06807350,0.06807350,0.06807350,0.06807352
-0.73750000,0.06850413,0.06850413,0.06850413,0.06850413,0.06850415
-0.73500000,0.06893876,0.06893876,0.06893876,0.06893876,0.06893877
-0.73250000,0.06937743,0.06937743,0.06937743,0.06937743,0.06937745
-0.73000000,0.06982021,0.06982021,0.06982021,0.06982021,0.06982021
-0.72750000,0.07026712,0.07026712,0.07026712,0.07026712,0.07026712
-0.72500000,0.07071823,0.07071823,0.07071823,0.07071823,0.07071823
-0.72250000,0.07117358,0.07117358,0.07117358,0.07117358,0.07117359
-0.72000000,0.07163323,0.07163323,0.07163323,0.07163323,0.07163324
-0.71750000,0.07209723,0.07209723,0.07209723,0.07209723,0.07209724
-0.71500000,0.07256563,0.07256563,0.07256563,0.07256563,0.07256565
-0.71250000,0.07303850,0.07303850,0.07303850,0.07303850,0.07303852
-0.71000000,0.07351588,0.07351588,0.07351588,0.07351588,0.07351590
-0.70750000,0.07399783,0.07399783,0.07399783,0.07399783,0.07399785
-0.70500000,0.07448442,0.07448442,0.07448442,0.07448442,0.07448443
-0.70250000,0.07497569,0.07497569,0.07497569,0.07497569,0.07497569
-0.70000000,0.07547170,0.07547170,0.07547170,0.07547170,0.07547170
-0.69750000,0.07597250,0.07597250,0.07597250,0.07597250,0.07597251
-0.69500000,0.07647817,0.07647817,0.07647817,0.07647817,0.07647818
-0.69250000,0.07698876,0.07698876,0.07698876,0.07698876,0.07698878
-0.69000000,0.07750434,0.07750434,0.07750434,0.07750434,0.07750436
-0.68750000,0.07802497,0.07802497,0.07802497,0.07802497,0.07802499
-0.68500000,0.07855072,0.07855072,0.07855072,0.07855072,0.07855074
-0.68250000,0.07908165,0.07908165,0.07908165,0.07908165,0.07908166
-0.68000000,0.07961782,0.07961782,0.07961782,0.07961782,0.07961783
-0.67750000,0.08015931,0.08015931,0.08015931,0.08015931,0.08015932
-0.67500000,0.08070618,0.08070618,0.08070618,0.08070618,0.08070618
-0.67250000,0.08125849,0.08125849,0.08125849,0.08125849,0.08125849
-0.67000000,0.08181631,0.08181631,0.08181631,0.08181631,0.08181632
-0.66750000,0.08237972,0.08237972,0.08237972,0.08237972,0.08237974
-0.66500000,0.08294880,0.08294880,0.08294880,0.08294880,0.08294883
-0.66250000,0.08352362,0.08352362,0.08352362,0.08352362,0.08352365
-0.66000000,0.08410426,0.08410426,0.08410426,0.08410426,0.08410429
-0.65750000,0.08469079,0.08469079,0.08469079,0.08469079,0.08469081
-0.65500000,0.08528329,0.08528329,0.08528329,0.08528329,0.08528330
-0.65250000,0.08588183,0.08588183,0.08588183,0.08588183,0.08588183
-0.65000000,0.08648649,0.08648649,0.08648649,0.08648649,0.08648649
-0.64750000,0.08709734,0.08709734,0.08709734,0.08709734,0.08709734
-0.64500000,0.08771447,0.08771447,0.08771447,0.08771447,0.08771449
-0.64250000,0.08833798,0.08833798,0.08833798,0.08833798,0.08833800
-0.64000000,0.08896794,0.08896794,0.08896794,0.08896794,0.08896797
-0.63750000,0.08960444,0.08960444,0.08960444,0.08960444,0.08960448
-0.63500000,0.09024758,0.09024758,0.09024758,0.09024758,0.09024762
-0.63250000,0.09089745,0.09089745,0.09089745,0.09089745,0.09089747
-0.63000000,0.09155412,0.09155412,0.09155412,0.09155412,0.09155413
-0.62750000,0.09221769,0.09221769,0.09221769,0.09221769,0.09221769
-0.62500000,0.09288824,0.09288824,0.09288824,0.09288824,0.09288824
-0.62250000,0.09356588,0.09356588,0.09356588,0.09356588,0.09356588
-0.62000000,0.09425069,0.09425069,0.09425069,0.09425069,0.09425071
-0.61750000,0.09494278,0.09494278,0.09494278,0.09494278,0.09494281
-0.61500000,0.09564226,0.09564226,0.09564226,0.09564226,0.09564230
-0.61250000,0.09634922,0.09634922,0.09634922,0.09634922,0.09634927
-0.61000000,0.09706378,0.09706378,0.09706378,0.09706378,0.09706382
-0.60750000,0.09778603,0.09778603,0.09778603,0.09778603,0.09778606
-0.60500000,0.09851608,0.09851608,0.09851608,0.09851608,0.09851610
-0.60250000,0.09925404,0.09925404,0.09925404,0.09925404,0.09925404
-0.60000000,0.10000000,0.10000000,0.10000000,0.10000000,0.10000000
-0.59750000,0.10075407,0.10075407,0.10075407,0.10075407,0.10075408
-0.59500000,0.10151638,0.10151638,0.10151638,0.10151638,0.10151640
-0.59250000,0.10228704,0.10228704,0.10228704,0.10228704,0.10228708
-0.59000000,0.10306617,0.10306617,0.10306617,0.10306617,0.10306622
-0.58750000,0.10385390,0.10385390,0.10385390,0.10385390,0.10385396
-0.58500000,0.10465035,0.10465035,0.10465035,0.10465035,0.10465040
-0.58250000,0.10545565,0.10545565,0.10545565,0.10545565,0.10545568
-0.58000000,0.10626991,0.10626991,0.10626991,0.10626991,0.10626993
-0.57750000,0.10709325,0.10709325,0.10709325,0.10709325,0.10709325
-0.57500000,0.10792580,0.10792580,0.10792580,0.10792580,0.10792580
-0.57250000,0.10876769,0.10876769,0.10876769,0.10876769,0.10876770
-0.57000000,0.10961905,0.10961905,0.10961905,0.10961905,0.10961907
-0.56750000,0.11048002,0.11048002,0.11048002,0.11048002,0.11048007
-0.56500000,0.11135077,0.11135077,0.11135077,0.11135077,0.11135082
-0.56250000,0.11223141,0.11223141,0.11223141,0.11223141,0.11223148
-0.56000000,0.11312211,0.11312211,0.11312211,0.11312211,0.11312217
-0.55750000,0.11402301,0.11402301,0.11402301,0.11402301,0.11402305
-0.55500000,0.11493425,0.11493425,0.11493425,0.11493425,0.11493427
-0.55250000,0.11585597,0.11585597,0.11585597,0.11585597,0.11585598
-0.55000000,0.11678832,0.11678832,0.11678832,0.11678832,0.11678832
-0.54750000,0.11773145,0.11773145,0.11773145,0.11773145,0.11773146
-0.54500000,0.11868552,0.11868552,0.11868552,0.11868552,0.11868556
-0.54250000,0.11965071,0.11965071,0.11965071,0.11965071,0.11965077
-0.54000000,0.12062719,0.12062719,0.12062719,0.12062719,0.12062726
-0.53750000,0.12161513,0.12161513,0.12161513,0.12161513,0.12161520
-0.53500000,0.12261469,0.12261469,0.12261469,0.12261469,0.12261476
-0.53250000,0.12362606,0.12362606,0.12362606,0.12362606,0.12362611
-0.53000000,0.12464940,0.12464940,0.12464940,0.12464940,0.12464942
-0.52750000,0.12568488,0.12568488,0.12568488,0.12568488,0.12568488
-0.52500000,0.12673267,0.12673267,0.12673267,0.12673267,0.12673267
-0.52250000,0.12779296,0.12779296,0.12779296,0.12779296,0.12779298
-0.52000000,0.12886594,0.12886594,0.12886594,0.12886594,0.12886598
-0.51750000,0.12995181,0.12995181,0.12995181,0.12995181,0.12995188
-0.51500000,0.13105078,0.13105078,0.13105078,0.13105078,0.13105086
-0.51250000,0.13216305,0.13216305,0.13216305,0.13216305,0.13216314
-0.51000000,0.13328882,0.13328882,0.13328882,0.13328882,0.13328890
-0.50750000,0.13442830,0.13442830,0.13442830,0.13442830,0.13442836
-0.50500000,0.13558170,0.13558170,0.13558170,0.13558170,0.13558173
-0.50250000,0.13674921,0.13674921,0.13674921,0.13674921,0.13674921
-0.50000000,0.13793103,0.13793103,0.13793103,0.13793103,0.13793103
-0.49750000,0.13912739,0.13912739,0.13912739,0.13912739,0.13912741
-0.49500000,0.14033852,0.14033852,0.14033852,0.14033852,0.14033857
-0.49250000,0.14156465,0.14156465,0.14156465,0.14156465,0.14156473
-0.49000000,0.14280604,0.14280604,0.14280604,0.14280604,0.14280614
-0.48750000,0.14406292,0.14406292,0.14406292,0.14406292,0.14406303
-0.48500000,0.14533553,0.14533553,0.14533553,0.14533553,0.14533563
-0.48250000,0.14662413,0.14662413,0.14662413,0.14662413,0.14662421
-0.48000000,0.14792895,0.14792895,0.14792895,0.14792895,0.14792899
-0.47750000,0.14925024,0.14925024,0.14925024,0.14925024,0.14925025
-0.47500000,0.15058824,0.15058824,0.15058824,0.15058824,0.15058824
-0.47250000,0.15194319,0.15194319,0.15194319,0.15194319,0.15194321
-0.47000000,0.15331539,0.15331539,0.15331539,0.15331539,0.15331545
-0.46750000,0.15470512,0.15470512,0.15470512,0.15470512,0.15470521
-0.46500000,0.15611267,0.15611267,0.15611267,0.15611267,0.15611279
-0.46250000,0.15753833,0.15753833,0.15753833,0.15753833,0.15753846
-0.46000000,0.15898239,0.15898239,0.15898239,0.15898239,0.15898251
-0.45750000,0.16044515,0.16044515,0.16044515,0.16044515,0.16044524
-0.45500000,0.16192688,0.16192688,0.16192688,0.16192688,0.16192693
-0.45250000,0.16342789,0.16342789,0.16342789,0.16342789,0.16342790
-0.45000000,0.16494845,0.16494845,0.16494845,0.16494845,0.16494845
-0.44750000,0.16648888,0.16648888,0.16648888,0.16648888,0.16648891
-0.44500000,0.16804950,0.16804950,0.16804950,0.16804950,0.16804957
-0.44250000,0.16963067,0.16963067,0.16963067,0.16963067,0.16963079
-0.44000000,0.17123273,0.17123273,0.17123273,0.17123273,0.17123288
-0.43750000,0.17285602,0.17285602,0.17285602,0.17285602,0.17285618
-0.43500000,0.17450089,0.17450089,0.17450089,0.17450089,0.17450104
-0.43250000,0.17616769,0.17616769,0.17616769,0.17616769,0.17616780
-0.43000000,0.17785677,0.17785677,0.17785677,0.17785677,0.17785683
-0.42750000,0.17956846,0.17956846,0.17956846,0.17956846,0.17956847
-0.42500000,0.18130312,0.18130312,0.18130312,0.18130312,0.18130312
-0.42250000,0.18306110,0.18306110,0.18306110,0.18306110,0.18306113
-0.42000000,0.18484280,0.18484280,0.18484280,0.18484280,0.18484288
-0.41750000,0.18664864,0.18664864,0.18664864,0.18664864,0.18664878
-0.41500000,0.18847903,0.18847903,0.18847903,0.18847903,0.18847921
-0.41250000,0.19033439,0.19033439,0.19033439,0.19033439,0.19033457
-0.41000000,0.19221511,0.19221511,0.19221511,0.19221511,0.19221528
-0.40750000,0.19412162,0.19412162,0.19412162,0.19412162,0.19412175
-0.40500000,0.19605433,0.19605433,0.19605433,0.19605433,0.19605441
-0.40250000,0.19801366,0.19801366,0.19801366,0.19801366,0.19801368
-0.40000000,0.20000000,0.20000000,0.20000000,0.20000000,0.20000000
-0.39750000,0.20201379,0.20201379,0.20201379,0.20201379,0.20201383
-0.39500000,0.20405551,0.20405551,0.20405551,0.20405551,0.20405561
-0.39250000,0.20612565,0.20612565,0.20612565,0.20612565,0.20612580
-0.39000000,0.20822468,0.20822468,0.20822468,0.20822468,0.20822488
-0.38750000,0.21035311,0.21035311,0.21035311,0.21035311,0.21035333
-0.38500000,0.21251143,0.21251143,0.21251143,0.21251143,0.21251162
-0.38250000,0.21470011,0.21470011,0.21470011,0.21470011,0.21470026
-0.38000000,0.21691966,0.21691966,0.21691966,0.21691966,0.21691974
-0.37750000,0.21917055,0.21917055,0.21917055,0.21917055,0.21917058
-0.37500000,0.22145329,0.22145329,0.22145329,0.22145329,0.22145329
-0.37250000,0.22376837,0.22376837,0.22376837,0.22376837,0.22376840
-0.37000000,0.22611635,0.22611635,0.22611635,0.22611635,0.22611645
-0.36750000,0.22849781,0.22849781,0.22849781,0.22849781,0.22849798
-0.36500000,0.23091333,0.23091333,0.23091333,0.23091333,0.23091355
-0.36250000,0.23336348,0.23336348,0.23336348,0.23336348,0.23336372
-0.36000000,0.23584884,0.23584884,0.23584884,0.23584884,0.23584906
-0.35750000,0.23836998,0.23836998,0.23836998,0.23836998,0.23837014
-0.35500000,0.24092748,0.24092748,0.24092748,0.24092748,0.24092757
-0.35250000,0.24352191,0.24352191,0.24352191,0.24352191,0.24352194
-0.35000000,0.24615385,0.24615385,0.24615385,0.24615385,0.24615385
-0.34750000,0.24882389,0.24882389,0.24882389,0.24882389,0.24882392
-0.34500000,0.25153268,0.25153268,0.25153268,0.25153268,0.25153278
-0.34250000,0.25428089,0.25428089,0.25428089,0.25428089,0.25428106
-0.34000000,0.25706918,0.25706918,0.25706918,0.25706918,0.25706941
-0.33750000,0.25989823,0.25989823,0.25989823,0.25989823,0.25989848
-0.33500000,0.26276870,0.26276870,0.26276870,0.26276870,0.26276893
-0.33250000,0.26568126,0.26568126,0.26568126,0.26568126,0.26568143
-0.33000000,0.26863656,0.26863656,0.26863656,0.26863656,0.26863667
-0.32750000,0.27163529,0.27163529,0.27163529,0.27163529,0.27163533
-0.32500000,0.27467811,0.27467811,0.27467811,0.27467811,0.27467811
-0.32250000,0.27776570,0.27776570,0.27776570,0.27776570,0.27776572
-0.32000000,0.28089879,0.28089879,0.28089879,0.28089879,0.28089888
-0.31750000,0.28407815,0.28407815,0.28407815,0.28407815,0.28407830
-0.31500000,0.28730453,0.28730453,0.28730453,0.28730453,0.28730472
-0.31250000,0.29057867,0.29057867,0.29057867,0.29057867,0.29057889
-0.31000000,0.29390133,0.29390133,0.29390133,0.29390133,0.29390154
-0.30750000,0.29727328,0.29727328,0.29727328,0.29727328,0.29727345
-0.30500000,0.30069525,0.30069525,0.30069525,0.30069525,0.30069536
-0.30250000,0.30416801,0.30416801,0.30416801,0.30416801,0.30416805
-0.30000000,0.30769231,0.30769231,0.30769231,0.30769231,0.30769231
-0.29750000,0.31126891,0.31126891,0.31126891,0.31126891,0.31126891
-0.29500000,0.31489861,0.31489861,0.31489861,0.31489861,0.31489864
-0.29250000,0.31858224,0.31858224,0.31858224,0.31858224,0.31858231
-0.29000000,0.32232061,0.32232061,0.32232061,0.32232061,0.32232071
-0.28750000,0.32611452,0.32611452,0.32611452,0.32611452,0.32611465
-0.28500000,0.32996481,0.32996481,0.32996481,0.32996481,0.32996494
-0.28250000,0.33387228,0.33387228,0.33387228,0.33387228,0.33387240
-0.28000000,0.33783775,0.33783775,0.33783775,0.33783775,0.33783784
-0.27750000,0.34186203,0.34186203,0.34186203,0.34186203,0.34186208
-0.27500000,0.34594595,0.34594595,0.34594595,0.34594595,0.34594595
-0.27250000,0.35009030,0.35009030,0.35009030,0.35009030,0.35009026
-0.27000000,0.35429592,0.35429592,0.35429592,0.35429592,0.35429584
-0.26750000,0.35856361,0.35856361,0.35856361,0.35856361,0.35856350
-0.26500000,0.36289419,0.36289419,0.36289419,0.36289419,0.36289408
-0.26250000,0.36728847,0.36728847,0.36728847,0.36728847,0.36728838
-0.26000000,0.37174726,0.37174726,0.37174726,0.37174726,0.37174721
-0.25750000,0.37627139,0.37627139,0.37627139,0.37627139,0.37627139
-0.25500000,0.38086166,0.38086166,0.38086166,0.38086166,0.38086170
-0.25250000,0.38551890,0.38551890,0.38551890,0.38551890,0.38551894
-0.25000000,0.39024390,0.39024390,0.39024390,0.39024390,0.39024390
-0.24750000,0.39503748,0.39503748,0.39503748,0.39503748,0.39503734
-0.24500000,0.39990032,0.39990032,0.39990032,0.39990032,0.39990002
-0.24250000,0.40483313,0.40483313,0.40483313,0.40483313,0.40483269
-0.24000000,0.40983658,0.40983658,0.40983658,0.40983658,0.40983607
-0.23750000,0.41491137,0.41491137,0.41491137,0.41491137,0.41491086
-0.23500000,0.42005818,0.42005818,0.42005818,0.42005818,0.42005776
-0.23250000,0.42527769,0.42527769,0.42527769,0.42527769,0.42527743
-0.23000000,0.43057059,0.43057059,0.43057059,0.43057059,0.43057051
-0.22750000,0.43593757,0.43593757,0.43593757,0.43593757,0.43593761
-0.22500000,0.44137931,0.44137931,0.44137931,0.44137931,0.44137931
-0.22250000,0.44689644,0.44689644,0.44689644,0.44689644,0.44689617
-0.22000000,0.45248935,0.45248935,0.45248935,0.45248935,0.45248869
-0.21750000,0.45815837,0.45815837,0.45815837,0.45815837,0.45815735
-0.21500000,0.46390382,0.46390382,0.46390382,0.46390382,0.46390258
-0.21250000,0.46972603,0.46972603,0.46972603,0.46972603,0.46972477
-0.21000000,0.47562533,0.47562533,0.47562533,0.47562533,0.47562426
-0.20750000,0.48160205,0.48160205,0.48160205,0.48160205,0.48160132
-0.20500000,0.48765652,0.48765652,0.48765652,0.48765652,0.48765620
-0.20250000,0.49378906,0.49378906,0.49378906,0.49378906,0.49378906
-0.20000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000
-0.19750000,0.50628955,0.50628955,0.50628955,0.50628955,0.50628906
-0.19500000,0.51265743,0.51265743,0.51265743,0.51265743,0.51265620
-0.19250000,0.51910323,0.51910323,0.51910323,0.51910323,0.51910131
-0.19000000,0.52562655,0.52562655,0.52562655,0.52562655,0.52562418
-0.18750000,0.53222698,0.53222698,0.53222698,0.53222698,0.53222453
-0.18500000,0.53890412,0.53890412,0.53890412,0.53890412,0.53890199
-0.18250000,0.54565756,0.54565756,0.54565756,0.54565756,0.54565607
-0.18000000,0.55248691,0.55248691,0.55248691,0.55248691,0.55248619
-0.17750000,0.55939175,0.55939175,0.55939175,0.55939175,0.55939166
-0.17500000,0.56637168,0.56637168,0.56637168,0.56637168,0.56637168
-0.17250000,0.57342609,0.57342609,0.57342609,0.57342609,0.57342532
-0.17000000,0.58055350,0.58055350,0.58055350,0.58055350,0.58055152
-0.16750000,0.58775226,0.58775226,0.58775226,0.58775226,0.58774910
-0.16500000,0.59502066,0.59502066,0.59502066,0.59502066,0.59501673
-0.16250000,0.60235705,0.60235705,0.60235705,0.60235705,0.60235294
-0.16000000,0.60975974,0.60975974,0.60975974,0.60975974,0.60975610
-0.15750000,0.61722706,0.61722706,0.61722706,0.61722706,0.61722442
-0.15500000,0.62475732,0.62475732,0.62475732,0.62475732,0.62475595
-0.15250000,0.63234886,0.63234886,0.63234886,0.63234886,0.63234858
-0.15000000,0.64000000,0.64000000,0.64000000,0.64000000,0.64000000
-0.14750000,0.64770874,0.64770874,0.64770874,0.64770874,0.64770772
-0.14500000,0.65547180,0.65547180,0.65547180,0.65547180,0.65546907
-0.14250000,0.66328560,0.66328560,0.66328560,0.66328560,0.66328117
-0.14000000,0.67114655,0.67114655,0.67114655,0.67114655,0.67114094
-0.13750000,0.67905105,0.67905105,0.67905105,0.67905105,0.67904509
-0.13500000,0.68699551,0.68699551,0.68699551,0.68699551,0.68699012
-0.13250000,0.69497633,0.69497633,0.69497633,0.69497633,0.69497231
-0.13000000,0.70298994,0.70298994,0.70298994,0.70298994,0.70298770
-0.12750000,0.71103274,0.71103274,0.71103274,0.71103274,0.71103211
-0.12500000,0.71910112,0.71910112,0.71910112,0.71910112,0.71910112
-0.12250000,0.72719111,0.72719111,0.72719111,0.72719111,0.72719009
-0.12000000,0.73529710,0.73529710,0.73529710,0.73529710,0.73529412
-0.11750000,0.74341307,0.74341307,0.74341307,0.74341307,0.74340806
-0.11500000,0.75153303,0.75153303,0.75153303,0.75153303,0.75152654
-0.11250000,0.75965096,0.75965096,0.75965096,0.75965096,0.75964392
-0.11000000,0.76776086,0.76776086,0.76776086,0.76776086,0.76775432
-0.10750000,0.77585672,0.77585672,0.77585672,0.77585672,0.77585162
-0.10500000,0.78393253,0.78393253,0.78393253,0.78393253,0.78392945
-0.10250000,0.79198230,0.79198230,0.79198230,0.79198230,0.79198119
-0.10000000,0.80000000,0.80000000,0.80000000,0.80000000,0.80000000
-0.09750000,0.80797926,0.80797926,0.80797926,0.80797926,0.80797879
-0.09500000,0.81591216,0.81591216,0.81591216,0.81591216,0.81591025
-0.09250000,0.82379043,0.82379043,0.82379043,0.82379043,0.82378685
-0.09000000,0.83160577,0.83160577,0.83160577,0.83160577,0.83160083
-0.08750000,0.83934990,0.83934990,0.83934990,0.83934990,0.83934426
-0.08500000,0.84701453,0.84701453,0.84701453,0.84701453,0.84700900
-0.08250000,0.85459137,0.85459137,0.85459137,0.85459137,0.85458673
-0.08000000,0.86207214,0.86207214,0.86207214,0.86207214,0.86206897
-0.07750000,0.86944856,0.86944856,0.86944856,0.86944856,0.86944709
-0.07500000,0.87671233,0.87671233,0.87671233,0.87671233,0.87671233
-0.07250000,0.88385501,0.88385501,0.88385501,0.88385501,0.88385582
-0.07000000,0.89086755,0.89086755,0.89086755,0.89086755,0.89086860
-0.06750000,0.89774072,0.89774072,0.89774072,0.89774072,0.89774162
